size,time,eval
5,1,10.1735208630562
6,1,12.2084368467331
7,1,14.2771636247635
8,1,17.1764657497406
9,1,17.6980341672897
10,2,19.7754265069962
11,2,21.8931251168251
12,3,21.4435231685638
13,4,24.0184713602066
14,6,22.9138285517693
15,7,24.2758236527443
16,9,27.0347746610641
17,13,30.7071476578712
18,18,33.1633075475693
19,22,31.2671681642532
20,29,33.3819010257721
21,41,34.9768020510674
22,50,35.5606619715691
23,63,36.403383910656
24,78,38.1684328913689
25,95,40.2399853467941
26,115,41.9945222139359
27,142,43.8020617961884
28,171,45.5241832137108
29,214,45.0908018350601
30,261,49.0321795940399
31,307,47.0817100405693
32,357,51.0687825083733
33,428,52.7039199471474
34,510,55.5178510546684
35,598,57.6867926716805
36,706,55.7190346121788
37,823,57.8851515650749
38,973,59.6778985261917
39,1149,62.2700459361076
40,1322,61.6365846991539
41,1508,65.108893096447
42,1735,62.1747983694077
43,1970,69.065006673336
44,2270,72.3494345545769
45,2585,70.5394232869148
46,2974,73.972665309906
47,3367,76.1375285983086
48,3808,73.9005469083786
49,4307,76.5955029726028
50,4826,77.3360217213631
