size,time,eval
5,1,9.36448228359222
6,1,13.5757201313972
7,1,15.2023238539696
8,2,14.977218568325
9,2,17.2660831212997
10,2,19.0764216184616
11,3,19.4583259224892
12,4,21.3206291794777
13,5,21.768619954586
14,7,25.7381152510643
15,9,25.9469347596169
16,12,26.274846971035
17,16,29.6165251731873
18,21,28.8114297389984
19,29,32.6998442411423
20,40,32.8146449923515
21,50,34.522091627121
22,65,35.9813523888588
23,81,38.7766447067261
24,102,40.3965853452682
25,124,39.9582323431969
26,151,39.4629296064377
27,182,40.1494155526161
28,219,43.2711073160172
29,266,46.2991212010384
30,322,49.6833703517914
31,385,50.1745203137398
32,459,49.8578835725784
33,543,50.7176138162613
34,643,53.3863880038261
35,760,54.0896787047386
36,883,53.4517931938171
37,1027,54.9550850391388
38,1199,60.3589561581612
39,1386,58.6960650086403
40,1590,58.3461236357689
41,1832,63.2910025119781
42,2114,65.7446168661118
43,2422,66.5755087733269
44,2785,69.2455696463585
45,3174,68.459880053997
46,3598,70.7556875944138
47,4070,69.1589305400848
48,4594,74.0006968379021
49,5167,72.3419315218925
50,5816,77.1549778580666
