size,time,eval
5,1,10.138962328434
6,1,12.9893968105316
7,1,13.5023556947708
8,2,16.6864968538284
9,2,16.3863552808762
10,2,15.5792546272278
11,3,19.9080867767334
12,4,22.09833329916
13,5,23.1877633929253
14,7,23.0740230083466
15,9,25.2932353019714
16,12,26.7742668390274
17,16,29.164522588253
18,21,29.6711934804916
19,28,32.733849465847
20,36,33.6575439572334
21,47,34.1063691973686
22,60,36.7028609514236
23,76,39.4032384753227
24,97,39.7894756197929
25,122,38.5317881703377
26,150,39.9292455911636
27,183,41.0979243516922
28,225,46.6521995663643
29,275,46.9883413314819
30,335,49.0274752378464
31,403,47.9598888158798
32,490,52.5649427771568
33,593,53.1291629076004
34,696,53.4244295954704
35,818,59.048285484314
36,958,56.7066174149513
37,1115,55.1714051961899
38,1297,57.832551240921
39,1500,61.2324483990669
40,1735,63.1254709362984
41,1986,61.4022681713104
42,2269,62.5129177570343
43,2581,63.4724348187447
44,2959,69.5171976685524
45,3367,72.1082270145416
46,3820,70.179671049118
47,4322,71.2397187948227
48,4856,70.7673242092133
49,5476,75.8006364703178
50,6152,74.0669268369675
