size,time,eval
5,1,9.13763827085495
6,1,13.5475761294365
7,1,13.9336389899254
8,1,16.3977143168449
9,2,16.1990171074867
10,2,18.2095612883568
11,2,19.0089600086212
12,3,22.4404830336571
13,5,23.0354084968567
14,7,26.1453372240067
15,9,25.1423473358154
16,11,26.4975150823593
17,14,29.9663511514664
18,18,29.441848218441
19,23,33.6720536351204
20,30,32.2220672369003
21,37,36.6870855689049
22,43,34.9583833813667
23,56,38.6060619354248
24,72,38.3478109836578
25,89,39.1798976063728
26,110,42.4072194695473
27,140,46.7560520768166
28,173,43.2891600131989
29,209,46.6131452918053
30,255,48.3648266792297
31,313,52.6121391057968
32,374,50.5060670375824
33,441,53.3294935822487
34,517,51.287949860096
35,603,55.4282521009445
36,709,55.9867191910744
37,813,57.039134979248
38,937,62.1668186187744
39,1071,57.2166281342506
40,1247,63.7139083147049
41,1435,63.0433620214462
42,1669,64.24237626791
43,1891,63.8538201451302
44,2160,66.7364448308945
45,2462,66.6400199532509
46,2836,71.3613302707672
47,3206,74.8412738442421
48,3608,70.9050740599632
49,4044,73.0850474238396
50,4551,75.3018622994423
