size,time,eval
5,1,10.8858327865601
6,1,12.4812127351761
7,1,13.6497821807861
8,1,14.7578104734421
9,2,16.6867790818214
10,2,19.1704092621803
11,3,19.9079710841179
12,4,20.1885970234871
13,5,22.2656135559082
14,7,25.3373686671257
15,9,25.8302997946739
16,13,26.5295190215111
17,17,27.5137939453125
18,23,29.924429833889
19,29,30.5197652578354
20,38,32.1029956936836
21,49,34.3952122926712
22,62,34.2882759571075
23,78,35.7158582806587
24,98,37.9738245606422
25,124,40.1214573979378
26,153,40.3377794027328
27,188,44.4035633206367
28,231,45.7644026279449
29,281,46.3955899477005
30,343,49.4275206923485
31,414,49.7307385206223
32,495,51.0920248031616
33,588,50.9830247759819
34,693,51.4645474553108
35,809,50.1758407950401
36,954,56.6108676195145
37,1109,56.9582834839821
38,1288,58.4790613055229
39,1494,58.6605969667435
40,1730,60.3661221861839
41,1997,61.7518116235733
42,2293,65.1848277449608
43,2622,65.5541043281555
44,2988,67.7393878698349
45,3407,69.1782147288322
46,3873,71.2557448744774
47,4374,70.3317167758942
48,4934,71.5497335791588
49,5574,75.6915448307991
50,6261,75.3147442340851
