size,time,eval
5,1,10.8037081360817
6,1,14.0388470888138
7,1,15.3224467039108
8,1,15.1480826735497
9,2,15.9701946377754
10,2,20.3172981142998
11,2,20.0820705890656
12,3,21.6460977196693
13,5,20.5582147240639
14,6,24.5297270417213
15,8,27.5451467037201
16,11,26.436548948288
17,14,27.4375682473183
18,19,29.3097360134125
19,25,32.9838876724243
20,33,33.4581162333488
21,43,35.9556798934937
22,54,34.2824804186821
23,68,37.2733665704727
24,84,35.1091893315315
25,104,38.9493824839592
26,130,40.9131452441216
27,159,44.0955372452736
28,195,45.7894297242165
29,235,44.8130883574486
30,284,47.8583916425705
31,343,51.8730472326279
32,410,50.0751902461052
33,485,50.3443884253502
34,573,51.7477157115936
35,675,53.4735343456268
36,797,57.1957505345345
37,929,57.2300736904144
38,1084,60.4733772873878
39,1264,59.3963478207588
40,1472,65.3509691953659
41,1704,62.0062987208366
42,1962,65.6062445640564
43,2253,68.0891746282578
44,2575,67.767188668251
45,2938,68.6315761804581
46,3351,70.3398902416229
47,3798,67.8178781270981
48,4290,74.9810753464699
49,4853,77.1141535639763
50,5515,78.4215003252029
