size,time,eval
5,1,10.1100673675537
6,1,12.7117068767548
7,1,14.3966441750526
8,1,16.7699981331825
9,2,16.4572080373764
10,2,17.8438127040863
11,3,20.7035412788391
12,3,21.0710785984993
13,5,22.0233522057533
14,6,26.4271206855774
15,8,24.8628593087196
16,11,25.2124413251877
17,15,31.3489413261414
18,20,28.5833580493927
19,25,29.916446685791
20,33,31.9252724051476
21,42,35.5834296345711
22,53,38.1072087883949
23,67,37.1936972737312
24,84,39.542147397995
25,104,40.6377436518669
26,129,42.3139545321465
27,160,46.6223997473717
28,196,45.7487506270409
29,237,45.4620915651321
30,286,47.1010757088661
31,344,48.3769165873528
32,414,50.8035151362419
33,494,53.0904195904732
34,584,53.1328771710396
35,689,55.4838307499886
36,868,58.9820851683617
37,1008,54.942030608654
38,1167,60.5838162302971
39,1341,61.0535022616386
40,1540,61.8382698297501
41,1758,61.8675622344017
42,2005,65.7500193119049
43,2290,69.6481158137321
44,2606,65.7582725286484
45,2959,68.8183307647705
46,3354,71.1032140254974
47,3795,72.491928935051
48,4273,75.5482778549194
49,4812,75.4538869261742
50,5420,77.8221182823181
