size,time,eval
5,1,9.81149905920029
6,1,14.2298581600189
7,1,13.0851409435272
8,1,15.1245344877243
9,2,17.2438367605209
10,2,16.8250108361244
11,2,20.2785884141922
12,3,24.3523079752922
13,4,23.0969845056534
14,6,25.2367451190948
15,7,25.1018741130829
16,10,28.8067052364349
17,12,29.9102885127068
18,17,31.7138347625732
19,23,34.6754954457283
20,28,33.162110209465
21,35,36.1211084127426
22,45,36.6160005927086
23,57,40.0026899576187
24,73,40.1881909370422
25,89,41.8667045235634
26,108,43.5007954835892
27,129,44.4485313892365
28,157,46.5147520899773
29,182,44.7633069753647
30,224,50.8521658778191
31,258,49.4320701956749
32,311,52.9124066829681
33,372,54.3526020050049
34,435,54.0622280240059
35,510,53.1872471570969
36,588,56.2286110520363
37,678,57.7292727231979
38,785,60.0360786318779
39,898,58.266574203968
40,1050,63.4043533802032
41,1223,69.2979294657707
42,1395,68.6004413962364
43,1609,69.1589947342873
44,1825,68.1682223081589
45,2061,69.0145238637924
46,2354,75.5440279841423
47,2615,69.157995223999
48,2958,74.2651076316833
49,3400,75.1959295272827
50,3838,78.8591948747635
