size,time,eval
5,1,9.68981301784515
6,1,11.5494816303253
7,1,15.9231373667717
8,1,14.875206053257
9,2,19.4816976189613
10,2,18.3382700681686
11,3,20.1862764358521
12,4,20.2270467877388
13,5,20.6600925326347
14,6,24.0868048667908
15,8,25.7839850783348
16,11,26.4077416062355
17,15,26.4627164006233
18,20,31.3740732073784
19,26,30.1900969147682
20,34,34.941569685936
21,43,34.8942687511444
22,55,36.6748293638229
23,69,38.664207816124
24,93,40.2816721796989
25,113,40.7902860045433
26,136,40.889833688736
27,167,43.5496834516525
28,202,45.343169927597
29,245,47.8041617274284
30,295,48.0074600577354
31,354,49.1137294173241
32,421,49.1601447463036
33,497,51.1227769255638
34,585,53.0571479797363
35,683,52.4540095329285
36,800,55.0142410993576
37,933,56.0796544551849
38,1085,59.1953328847885
39,1253,58.9305971860886
40,1459,61.3391196727753
41,1682,65.0744491219521
42,1928,62.9928511977196
43,2214,67.6328292489052
44,2528,67.8362842202187
45,2875,68.9573932886124
46,3257,70.093909740448
47,3703,73.2997288703918
48,4182,70.2767010331154
49,4723,73.4623229503632
50,5311,76.456376850605
