size,time,eval
5,1,9.69813978672028
6,1,12.7242370247841
7,1,15.3226817846298
8,1,15.8755645751953
9,2,16.6603960394859
10,2,18.3597304224968
11,3,19.6002371311188
12,4,21.2085081338882
13,5,24.2243844866753
14,7,24.2208739519119
15,9,25.6895472407341
16,12,28.1569948196411
17,16,25.9399490952492
18,21,30.830092728138
19,28,30.3008509278297
20,36,33.1353098750114
21,47,36.1258294582367
22,61,39.0581968426704
23,77,40.2321070432663
24,97,36.7491997480392
25,121,41.3347319364548
26,149,42.7561398148537
27,187,42.160690009594
28,229,46.4978088140488
29,277,45.1107193827629
30,332,47.4968836307526
31,397,49.6403687596321
32,473,49.3335379958153
33,563,52.7246903777122
34,666,53.0995255708694
35,785,57.7618688941002
36,938,56.7811659574509
37,1101,56.8130275011063
38,1272,58.7916676402092
39,1467,59.0194677710533
40,1688,61.547685444355
41,1945,63.9347235560417
42,2223,65.5578891038895
43,2543,69.5239919424057
44,2899,71.9255717396736
45,3288,69.6475487351418
46,3722,70.0386388897896
47,4196,72.9919514656067
48,4742,70.2588629126549
49,5342,74.8359383940697
50,6014,75.9896661043167
