size,time,eval
5,1,10.2545140981674
6,1,13.447140455246
7,1,14.0705124139786
8,1,16.5581578016281
9,2,16.9855186343193
10,2,19.1948367357254
11,3,19.06784760952
12,4,21.4606807231903
13,5,23.3873693943024
14,7,24.7573773264885
15,9,27.5776895880699
16,13,28.7423886060715
17,17,29.8913006782532
18,22,31.4186256527901
19,29,33.5788154006004
20,38,32.8347039222717
21,48,34.3020532131195
22,62,37.078661441803
23,78,36.2648417949677
24,97,39.0470619797707
25,121,40.3909034132957
26,151,41.4110572934151
27,185,40.8886411190033
28,225,44.7629556655884
29,276,47.2090998888016
30,333,44.7197408676147
31,403,49.0528848767281
32,487,50.7483263015747
33,581,49.9801433682442
34,682,53.0481342673302
35,805,54.649374127388
36,941,54.9264034628868
37,1096,57.953500688076
38,1270,57.3680016994476
39,1476,60.8414980173111
40,1703,61.9938916563988
41,1956,59.9127281904221
42,2242,64.5683256387711
43,2570,65.6310589909554
44,2933,67.0183374881744
45,3323,64.935472548008
46,3780,71.1508519649506
47,4279,70.5541983246803
48,4836,70.4598047733307
49,5454,75.2185240983963
50,6125,74.9573681950569
