size,time,eval
6,2
7,2
8,2
9,2
10,2
11,2
12,3
13,3
14,4
15,4
16,5
17,6
18,7
19,8
20,10
21,11
22,14
23,16
24,19
25,25
26,29
27,34
28,39
29,46
30,52
31,59
32,68
33,77
34,88
35,100
36,114
37,130
38,148
39,165
40,185
41,207
42,233
43,259
44,288
45,324
46,361
47,399
48,442
49,488
50,538
51,590
52,647
53,708
54,774
55,846
56,924
57,1008
58,1098
59,1192
60,1293
61,1403
62,1519
63,1645
64,1789
65,1937
66,2090
67,2258
68,2429
69,2610
70,2805
71,3008
72,3223
73,3457
74,3703
75,3960
76,4234
77,4527
78,4834
79,5161
80,5509
81,5884
82,6265
83,6668
84,7085
85,7525
86,8013
87,8514
88,9017
89,9567
90,10124
91,10712
92,11339
93,11983
94,12651
95,13374
96,14125
97,14910
98,15726
99,16560
100,17437
