size,time,eval
5,1,9.71498018503189
6,1,13.5934855937958
7,1,14.0126488804817
8,1,17.0585731267929
9,2,17.0282658934593
10,2,17.9967243075371
11,3,20.199815094471
12,4,20.8920777440071
13,5,24.1135318875313
14,6,24.6452425122261
15,8,24.9074986577034
16,11,27.6427112817764
17,14,27.2905640602112
18,19,30.4642729759216
19,24,32.3000903725624
20,33,31.6686312556267
21,42,35.215393781662
22,53,36.3189289569855
23,67,38.3774837851524
24,84,39.7632622718811
25,106,41.6413933038712
26,131,41.5612131953239
27,160,40.9670965075493
28,195,45.0131880640984
29,235,45.0707687735558
30,284,48.2534485459328
31,342,47.9009361863136
32,410,50.6771365404129
33,486,52.3449261784554
34,575,54.2195296287537
35,676,55.5421053171158
36,795,56.4693242907524
37,927,55.759733736515
38,1083,60.7393464446068
39,1257,60.4665105342865
40,1455,63.1198647618294
41,1685,63.5786329507828
42,1940,66.4925426840782
43,2220,65.226774930954
44,2543,67.9588737487793
45,2906,71.9017580747604
46,3292,70.1515689492226
47,3729,72.4026635289192
48,4217,72.3057006001472
49,4741,72.6745908856392
50,5341,75.0530357956886
