size,time,eval
37,2095,59.5808779001236
38,2111,59.3259611725807
39,2129,59.8322310447693
40,2146,57.6521854400635
41,2167,62.6167603135109
42,2190,63.4358741044998
43,2214,65.5362974405289
44,2241,66.5918819308281
45,2270,67.9670860171318
46,2303,70.0015739202499
47,2342,73.2237947583199
48,2383,72.1458407044411
49,2426,72.5730666518211
50,2472,76.9924691319466
5,2472,11.1086602210999
6,2472,11.552240550518
7,2472,12.3420421481133
8,2473,16.0142279267311
9,2473,18.0098508000374
10,2473,18.7311707139015
11,2473,17.033585190773
12,2473,19.406954228878
13,2474,23.1442537903786
14,2474,25.3279765844345
15,2475,25.4724161624908
16,2476,26.8918545246124
17,2476,28.958198428154
18,2477,30.6626572608948
19,2479,29.8252678513527
20,2480,33.2430242300034
21,2482,33.4832852482796
22,2484,36.3563737273216
23,2486,38.5981729626656
24,2488,37.9150506854057
25,2492,41.6499948501587
26,2496,40.2416649460793
27,2500,43.3850520849228
28,2504,43.29052734375
29,2510,46.5148227214813
30,2516,45.9414839744568
31,2522,47.725025832653
32,2530,52.3082731962204
33,2539,49.6416292786598
34,2552,54.7546708583832
35,2564,53.3556615710258
36,2576,57.6599466204643
37,2590,55.2741435170174
38,2606,55.5683122873306
39,2625,61.0686075687408
40,2643,63.3479022979736
41,2663,63.5793167352676
42,2686,65.5014919042587
43,2710,65.3800048828125
44,2738,68.4585149884224
45,2768,70.5115203261375
46,2801,70.4850744009018
47,2836,72.5450372695923
48,2872,71.4835918545723
49,2914,75.1362468600273
50,2955,70.3517029285431
5,2955,10.9831475615501
6,2955,12.924564063549
7,2955,14.1884270906448
8,2955,16.435154736042
9,2955,16.5382076501846
10,2956,19.4413184523582
11,2956,18.5263400673866
12,2956,22.159992814064
13,2956,24.215824842453
14,2957,23.0465381145477
15,2958,25.8714656233788
16,2958,28.8916898965836
17,2959,29.0716637969017
18,2960,30.1270540356636
19,2961,29.7739307284355
20,2963,33.8872596621513
21,2964,33.7314414381981
22,2966,35.3371949195862
23,2968,37.673209965229
24,2971,40.3885696530342
25,2974,40.8820675611496
26,2978,41.5611547827721
27,2982,43.1709323525429
28,2987,45.4949626922607
29,2992,46.2798001766205
30,2998,47.7931994199753
31,3005,47.5367881059647
32,3013,53.0807556509972
33,3021,51.9185875654221
34,3032,52.4971563816071
35,3042,52.8245522975922
36,3054,55.521116733551
37,3068,59.4633275866508
38,3083,59.3980161547661
39,3100,63.5141185522079
40,3119,60.8992426395416
41,3139,63.7922524809837
42,3162,64.0229993462563
43,3187,68.511302113533
44,3214,66.3719710707664
45,3244,68.5829179883003
46,3279,68.8790903687477
47,3311,68.4889395833015
48,3354,77.1536353826523
49,3398,73.0875398516655
50,3444,76.300316631794
5,3444,11.3505089879036
6,3444,13.6656308174133
7,3444,15.5019446015358
8,3444,14.4535644054413
9,3444,17.6657508015633
10,3444,18.8471074104309
11,3444,20.1660157442093
12,3445,20.007076382637
13,3445,24.3777913451195
14,3445,22.8755686283112
15,3446,25.0304138660431
16,3447,26.3525115251541
17,3448,29.1103572845459
18,3448,29.2588695883751
19,3450,31.1322378516197
20,3451,33.5641195178032
21,3453,34.5073267817497
22,3455,37.1033934950829
23,3458,38.3819009661674
24,3460,37.258568584919
25,3463,41.1577008962631
26,3467,41.1315188407898
27,3472,42.3618984818459
28,3476,42.7545081973076
29,3481,45.6819675564766
30,3488,47.3426120877266
31,3495,49.1233183145523
32,3503,48.3658486604691
33,3512,51.7735605835915
34,3522,53.7895153164864
35,3534,54.1272939443588
36,3545,57.7312643527985
37,3560,57.2756813168526
38,3576,60.4582906365395
39,3592,58.8848868608475
40,3610,61.8000783324242
41,3629,63.9433757066727
42,3651,62.5596665143967
43,3675,65.3265302181244
44,3704,70.0003591179848
45,3731,68.2314385175705
46,3763,70.4672248959541
47,3798,71.9648765325546
48,3836,75.0120434761047
49,3877,74.0730308294296
50,3921,77.7049327492714
5,3921,10.8131919503212
6,3921,13.048897922039
7,3921,13.1712594032288
8,3921,16.5206687450409
9,3921,17.1026595234871
10,3921,19.9973133802414
11,3922,18.1090255379677
12,3922,22.1731103658676
13,3922,22.2043483257294
14,3923,23.4739065766335
15,3923,25.2951220870018
16,3924,28.5072959661484
17,3925,28.8827024698257
18,3926,29.6462433934212
19,3927,32.3834720253944
20,3929,33.6235699653625
21,3932,35.9896245002747
22,3934,35.4003791809082
23,3937,35.9411776661873
24,3940,37.75928992033
25,3943,39.8886690139771
26,3946,44.8416803479195
27,3950,41.9811635613441
28,3955,46.0810371041298
29,3960,46.6373090147972
30,3967,48.5267394781113
31,3974,48.4317076206207
32,3982,50.9510682821274
33,3990,52.7518400549889
34,4000,55.2407664060593
35,4011,54.8050519824028
36,4023,53.5440861582756
37,4037,59.5573918223381
38,4052,57.0817656517029
39,4068,61.5880018472672
40,4087,62.9559043049812
41,4109,62.5093893408775
42,4133,66.7971102595329
43,4158,68.9300159811974
44,4186,66.8547279238701
45,4217,70.5504776239395
46,4248,70.6697183251381
47,4284,68.9295719861984
48,4321,72.7668825984001
49,4363,75.6050598621368
50,4408,74.4116278290749
5,4408,9.81675708293915
6,4408,11.3477631807327
7,4408,13.6939590573311
8,4409,15.0215917229652
9,4409,18.1071369051933
10,4409,20.4896034002304
11,4409,19.9881831407547
12,4409,21.1874546408653
13,4410,23.7223013043404
14,4410,24.5199283361435
15,4411,24.9044614434242
16,4411,25.8882604241371
17,4412,29.6828404664993
18,4413,28.7090324759483
19,4414,30.8803806304932
20,4416,31.0997785925865
21,4418,35.7975996732712
22,4420,33.9697843790054
23,4422,37.0777218341827
24,4425,36.6409185528755
25,4427,39.8575201034546
26,4431,44.0152276158333
27,4435,41.8714846372604
28,4440,44.9558057188988
29,4446,46.4711610078812
30,4452,47.6743857264519
31,4459,49.578946352005
32,4467,49.6440740227699
33,4476,50.3842424750328
34,4486,52.8955473303795
35,4497,58.1256096363068
36,4510,56.3821307420731
37,4524,58.5031068921089
38,4539,59.426394879818
39,4555,58.2290977239609
40,4575,62.3691500425339
41,4597,64.9649819731712
42,4620,63.8864201307297
43,4645,66.022333085537
44,4673,70.8072195053101
45,4702,67.895525932312
46,4734,68.9002994894981
47,4768,70.2360197901726
48,4808,72.7087640762329
49,4850,73.6116446256638
50,4901,75.2061324119568
