size,time,eval
5,1,10.0694404244423
6,1,11.6075627803802
7,1,12.9364222884178
8,2,17.280185341835
9,2,17.1488919854164
10,2,17.3322337269783
11,3,20.1996350884438
12,4,23.0569667816162
13,5,23.6944900155067
14,7,24.0555970668793
15,8,24.527631342411
16,11,29.0217109322548
17,13,27.7604725956917
18,17,28.9026206731796
19,23,31.4016628861427
20,29,35.5395431518555
21,38,34.3951689004898
22,49,39.3465307354927
23,62,39.348802447319
24,79,40.5365823507309
25,98,40.8503687977791
26,120,40.2714042663574
27,144,41.3648456931114
28,176,47.1866393089294
29,212,47.985428750515
30,253,46.8491430282593
31,309,49.1029145717621
32,362,48.9759234786034
33,428,51.9902982711792
34,513,55.094855427742
35,599,53.3500008583069
36,724,58.6872252821922
37,827,56.8707203865051
38,961,59.3141729235649
39,1120,63.4360963702202
40,1268,61.8836812376976
41,1477,66.6878052353859
42,1650,61.1535287499428
43,1906,63.9489693045616
44,2191,66.5901786088943
45,2432,67.7951145172119
46,2701,69.8343584537506
47,3042,71.3596017956734
48,3423,71.761810541153
49,3910,76.7372223138809
50,4411,76.0521969795227
