size,time,eval
5,1,10.0503367781639
6,1,12.3830895423889
7,1,13.5228453874588
8,1,16.1100314855576
9,2,17.4074113368988
10,2,19.2906419038773
11,3,19.63264554739
12,3,21.5507199764252
13,5,24.0051647424698
14,6,25.5600927472115
15,8,24.6530420184135
16,11,28.067409157753
17,15,29.5124506354332
18,20,29.5322206020355
19,25,30.2273380756378
20,33,33.8431868553162
21,42,35.1547558307648
22,54,31.9230709075928
23,68,39.9298746585846
24,86,39.0108532309532
25,108,41.4524177312851
26,134,39.2506175041199
27,164,46.8407459259033
28,201,45.8893757462502
29,245,47.5778274536133
30,297,47.8582308888435
31,357,49.7034404277802
32,429,52.8633150458336
33,509,52.1683582663536
34,600,51.8262890577316
35,706,54.0464677810669
36,824,54.5280895829201
37,966,61.2848923802376
38,1125,57.4546464085579
39,1303,61.8758842945099
40,1503,61.3104600906372
41,1738,64.2650817036629
42,2000,64.5497532486916
43,2292,65.4035042524338
44,2628,69.9727548360825
45,2995,68.5440969467163
46,3409,69.4453650712967
47,3866,72.552782535553
48,4376,72.4224637746811
49,4965,77.3020689487457
50,5605,77.6551772356033
