size,time,eval
5,1,9.58987194299698
6,1,14.2509459853172
7,1,13.3050068020821
8,1,15.1274029016495
9,2,16.4586724042892
10,2,19.3925454616547
11,3,20.5231024026871
12,4,23.2474105358124
13,5,21.7868065237999
14,7,24.0129647254944
15,9,24.1247015595436
16,12,25.9044844508171
17,16,28.9986356496811
18,21,30.3387417197227
19,30,32.8693586587906
20,38,31.055173099041
21,49,34.5822260975838
22,61,33.9435555934906
23,78,36.1217880249023
24,99,38.808730840683
25,123,38.2570365071297
26,150,41.2484723329544
27,181,42.73907995224
28,221,47.2791129350662
29,265,46.9123398661613
30,318,47.3975481390953
31,383,50.1232231855392
32,452,48.5646762251854
33,534,50.0407744646072
34,632,53.0188421607018
35,745,55.6688871979713
36,874,56.2264288663864
37,1020,57.5133218765259
38,1171,54.5593909621239
39,1355,58.7134984731674
40,1564,60.3271452784538
41,1801,63.6668325066566
42,2064,63.4122990369797
43,2368,65.3830280900002
44,2705,67.5059370398521
45,3083,69.7994303107262
46,3505,72.3365834951401
47,3966,70.6876416802406
48,4491,73.1686809659004
49,5075,76.1121192574501
50,5686,73.5309833884239
