size,time,eval
5,1,10.9103605747223
6,1,12.8871755599976
7,1,13.7924552559853
8,2,16.1819833517075
9,2,17.6439096927643
10,2,17.7556843161583
11,3,19.837433218956
12,3,19.247969686985
13,4,23.2277759313583
14,6,25.3740723133087
15,8,24.9550514817238
16,9,25.9674159288406
17,13,30.0009227395058
18,17,31.9516952037811
19,21,28.7077090144157
20,26,32.0947327613831
21,36,36.3747872114182
22,46,36.9121510982513
23,57,38.2491118907928
24,76,40.6820247769356
25,95,41.7509400844574
26,116,41.8068909049034
27,146,42.6204363703728
28,183,45.2309493422508
29,218,47.0266609787941
30,270,50.0229180455208
31,320,52.2075840234756
32,380,49.3666839599609
33,448,52.0943005084991
34,521,50.6856206059456
35,603,54.5636764764786
36,695,53.9377678632736
37,793,57.098491191864
38,943,62.4677208662033
39,1107,64.1242429614067
40,1269,62.9530847668648
41,1482,69.2459945678711
42,1694,66.3973043560982
43,1948,63.9902485013008
44,2230,67.9559324979782
45,2470,65.8887981772423
46,2777,69.1309688091278
47,3198,73.3450866937637
48,3670,78.5977122187614
49,4157,76.5664340853691
50,4650,76.923203766346
