size,time,eval
5,1,10.0959770679474
6,1,12.2782915234566
7,1,13.7756456136703
8,2,15.4535583257675
9,2,15.9395653605461
10,2,17.8369528055191
11,3,18.0795520544052
12,4,21.4930214881897
13,5,21.7004638910294
14,6,23.5777466893196
15,8,24.7935336232185
16,11,25.3703783154488
17,15,30.3099135160446
18,19,31.3325346708298
19,25,30.6322366595268
20,33,34.3832188248634
21,43,33.0225875377655
22,54,34.8237248063087
23,71,38.3094246983528
24,88,37.8337656259537
25,114,41.4844053387642
26,138,41.6923016905785
27,167,40.3819326162338
28,205,45.8619745969772
29,247,46.4311882257462
30,296,48.4108104109764
31,352,47.3956345319748
32,418,46.8949881196022
33,496,52.8122998476028
34,586,54.0624844431877
35,687,52.6391557455063
36,800,53.0313039422035
37,932,58.7871135473251
38,1083,59.3501291275024
39,1254,60.76428180933
40,1458,64.8423975110054
41,1671,63.1822235584259
42,1921,65.763959467411
43,2203,67.0761855840683
44,2520,68.3241002559662
45,2877,71.4608311653137
46,3258,69.7723370194435
47,3678,72.7082749605179
48,4170,74.6848259568214
49,4705,75.3197883367538
50,5299,74.3623563051224
