size,time,eval
5,1,9.60113304853439
6,1,12.4632423520088
7,1,11.8092012405396
8,1,15.5368556976318
9,2,18.0593683719635
10,2,18.1881186962128
11,3,20.4877740740776
12,4,21.8198602795601
13,5,23.39175593853
14,7,25.6668605804443
15,9,25.2600444555283
16,13,26.8627204298973
17,17,28.0786067247391
18,24,30.2204838395119
19,31,32.1408045291901
20,40,34.3363209366798
21,51,36.2758308649063
22,66,36.4039311408997
23,82,36.0117192268372
24,103,38.3816729187965
25,128,40.6793734431267
26,160,43.1465256810188
27,197,45.2858394980431
28,240,44.8220638632774
29,292,46.5674681663513
30,354,48.3147392868996
31,425,49.7029643058777
32,510,52.7843865156174
33,607,52.2549950480461
34,722,55.4795771241188
35,848,55.7545046210289
36,996,56.3948064446449
37,1166,57.5932927131653
38,1352,58.4779549837112
39,1573,61.5211260318756
40,1825,59.8642021417618
41,2105,63.9836248159409
42,2422,68.8064239025116
43,2785,67.6115095615387
44,3177,66.2169120311737
45,3615,72.2895151972771
46,4102,70.0470348596573
47,4648,72.5761529803276
48,5255,70.5093354582787
49,5934,76.5068335533142
50,6728,78.6308536529541
