size,time,eval
5,1,10.6680818200111
6,1,12.1634852290154
7,1,14.9285634160042
8,2,14.7759611606598
9,2,18.620458304882
10,2,20.3991020321846
11,3,19.7158246636391
12,4,22.3653730154037
13,5,22.0372186899185
14,7,23.6100873351097
15,9,26.7806913852692
16,12,24.5888615846634
17,16,28.634376168251
18,21,30.4499776363373
19,26,30.0484544038773
20,34,32.0822241902351
21,43,34.8691120743752
22,56,36.8324537277222
23,70,34.1020592451096
24,88,37.3503028154373
25,110,39.5730242729187
26,138,40.6228476762772
27,168,42.2324864268303
28,207,43.2111127972603
29,252,46.111532330513
30,305,46.1739662289619
31,368,50.5937603712082
32,442,51.8409445881844
33,528,52.013717353344
34,624,54.6743238568306
35,738,56.4487109780312
36,867,54.7352077960968
37,1015,59.7472950816154
38,1177,56.543932557106
39,1365,60.5311179161072
40,1567,59.3015083670616
41,1809,63.7604805827141
42,2078,63.6575081944466
43,2370,62.8070451617241
44,2701,66.6992931365967
45,3069,67.7963458895683
46,3455,66.8614003062248
47,3909,69.5372297167778
48,4440,73.7178040146828
49,5006,75.9845262169838
50,5613,74.7224344611168
