size,time,eval
5,1,10.5683218836784
6,1,13.2183851003647
7,1,13.3601319789886
8,1,16.1120401024818
9,2,16.1857482790947
10,2,17.4017914533615
11,3,19.7295425534248
12,4,22.3356829285622
13,5,22.1557701230049
14,7,23.9896463751793
15,9,25.8613523840904
16,13,25.4356076717377
17,17,29.3668981194496
18,23,31.6614794135094
19,30,30.560759305954
20,38,32.5492817759514
21,49,34.6243982315063
22,62,35.3646154403687
23,79,38.6049795150757
24,100,40.6941323280334
25,126,40.986355483532
26,156,41.8685472011566
27,193,42.5269890427589
28,237,43.38318836689
29,287,46.9709610342979
30,348,48.6860226988792
31,420,49.8098185658455
32,499,47.4375067949295
33,593,50.0942511558533
34,706,51.7600702643394
35,836,53.9237908124924
36,986,57.6369607448578
37,1155,56.8716039657593
38,1348,58.4953060150146
39,1554,60.7876675128937
40,1789,60.915865778923
41,2065,65.3902046084404
42,2363,64.250118970871
43,2697,66.8493906855583
44,3068,67.1137045621872
45,3493,71.0042098760605
46,3952,70.9887508749962
47,4474,73.5917546153069
48,5061,75.363361120224
49,5703,73.2237063646317
50,6395,75.6166828274727
