size,time,eval
5,1,9.9376568198204
6,1,13.0818799734116
7,1,14.5114707946777
8,1,16.2213078737259
9,1,17.9663535356522
10,2,18.3891280889511
11,2,19.6148519515991
12,3,22.8703919649124
13,4,21.9888622760773
14,5,24.2517379522324
15,8,26.7165972590446
16,10,28.4072958827019
17,12,26.9031959176064
18,17,31.8834276199341
19,23,32.4524355530739
20,28,32.9076929688454
21,35,33.083875477314
22,44,38.0613212585449
23,57,40.8699567317963
24,71,40.0422074794769
25,86,41.1530445218086
26,106,43.0941663384438
27,129,43.3481546640396
28,155,44.6304142475128
29,182,45.2964314818382
30,217,49.1804594993591
31,268,50.934669315815
32,317,50.6276473402977
33,371,52.2228635549545
34,443,55.2985061407089
35,519,54.5714774727821
36,616,59.6315937638283
37,727,58.8427188396454
38,854,63.3566373586655
39,978,59.8956215381622
40,1108,59.9314879179001
41,1297,68.250431895256
42,1507,65.5664727687836
43,1718,65.6571536660194
44,1902,67.2883569598198
45,2136,68.7917328476906
46,2441,72.9215443134308
47,2805,74.9804017543793
48,3143,71.3828648924828
49,3492,74.3073393702507
50,3952,78.0918177962303
