size,time,eval
5,1,11.3118088245392
6,1,12.4891639351845
7,1,14.8046075105667
8,2,13.8122066259384
9,2,18.8501992225647
10,2,18.0997132062912
11,3,20.9147951602936
12,4,21.9990000724792
13,6,24.7308502793312
14,7,24.2956067323685
15,10,25.6465390324593
16,13,28.9881211519241
17,17,29.4357694387436
18,22,29.9887811541557
19,29,28.9752498269081
20,44,31.4694258570671
21,55,35.5728389024734
22,70,36.3720445036888
23,86,35.6855398416519
24,107,40.724607527256
25,131,39.1920812129974
26,162,43.4121308326721
27,196,41.7461667060852
28,236,44.879126727581
29,285,48.3495585918427
30,344,47.1378366351128
31,415,48.8727288246155
32,492,49.8309878706932
33,584,52.3198582530022
34,690,53.2078437805176
35,810,53.7625859379768
36,948,56.1287361383438
37,1108,59.0579429864883
38,1287,59.5031274557114
39,1494,61.6372790932655
40,1725,62.8086374402046
41,1988,62.8367641568184
42,2284,62.5879053473473
43,2610,67.3484335541725
44,2977,66.890760242939
45,3387,68.7758219242096
46,3845,73.7007834911346
47,4354,75.4480208754539
48,4902,74.9678246974945
49,5497,73.7798937559128
50,6156,72.8644101023674
