size,time,eval
5,1,11.3622876405716
6,1,13.0893244743347
7,1,13.4893435239792
8,1,16.0232418179512
9,2,16.3096967935562
10,2,18.8722876310349
11,3,20.4684833288193
12,4,22.6676706671715
13,5,21.7767705917358
14,6,24.4354920983315
15,9,25.5067463517189
16,12,28.6414728164673
17,15,29.668920814991
18,21,28.2637194991112
19,27,31.2352115511894
20,35,32.8886585831642
21,44,34.410136282444
22,56,36.8288305401802
23,72,36.4810066223145
24,90,39.2967196702957
25,114,43.8682880997658
26,141,41.7809937596321
27,173,43.2453908920288
28,213,42.7086438536644
29,260,48.2754122018814
30,316,49.0205609202385
31,377,48.5562211871147
32,447,53.1291128396988
33,532,50.8134242892265
34,627,52.0907156467438
35,738,53.499307513237
36,863,55.014476120472
37,1010,59.8786590695381
38,1168,57.1181284785271
39,1348,61.5646013617516
40,1546,63.8523708581924
41,1769,60.9165266752243
42,2018,64.6464143395424
43,2303,66.146488070488
44,2627,67.03304708004
45,2991,72.3917220830917
46,3395,70.1605138778687
47,3841,71.4298790693283
48,4344,72.6437469124794
49,4902,75.1402533054352
50,5528,76.7439466714859
