size,time,eval
5,1,10.5283478498459
6,1,13.5915257334709
7,1,13.212858915329
8,2,14.7952001690865
9,2,17.2761439681053
10,2,19.2478623390198
11,3,20.3741196393967
12,4,21.4564531445503
13,5,23.720856487751
14,7,25.0201371312141
15,9,26.8152918815613
16,12,27.577976167202
17,16,30.6193313598633
18,21,30.6610673666
19,28,32.3069771528244
20,36,34.6117796301842
21,48,32.7909011244774
22,64,36.9270877838135
23,79,37.8185610175133
24,97,37.7852368354797
25,118,38.9608040452003
26,145,41.9055327773094
27,178,41.6924586296082
28,215,41.4182268977165
29,261,46.8327549099922
30,308,44.0297005772591
31,375,49.9507112503052
32,450,49.789333820343
33,533,51.4590472579002
34,632,54.0315174460411
35,742,52.8876383304596
36,873,56.1882357001305
37,1016,57.097286760807
38,1179,57.3234001398087
39,1357,57.2942985892296
40,1569,61.3386085629463
41,1808,59.6912590265274
42,2084,65.3706887364388
43,2390,67.4887456893921
44,2734,65.6313229799271
45,3116,69.8155350089073
46,3521,69.294654071331
47,3982,69.6472309231758
48,4503,74.0060374736786
49,5063,73.5104805231094
50,5703,75.1765959858894
