size,time,eval
5,1,9.94318860769272
6,2,12.4228920936584
7,2,13.8435195088387
8,2,15.9032365083694
9,2,16.7596328258514
10,3,18.3858310580254
11,3,21.3218618631363
12,4,20.0816454291344
13,5,22.3996923565865
14,7,23.5684847831726
15,9,26.4969233870506
16,13,27.9535034298897
17,16,30.6881477236748
18,21,27.6607388854027
19,27,31.2322455048561
20,37,32.420646071434
21,46,31.7682698369026
22,59,37.3282743096352
23,75,35.2463426589966
24,94,37.8145106434822
25,117,42.1103317737579
26,143,39.965643465519
27,174,41.3666675686836
28,213,46.4914412498474
29,256,43.5179705619812
30,307,45.8842744231224
31,364,47.8309689760208
32,434,49.4148280024529
33,510,48.6392267942429
34,610,54.8969965577126
35,724,56.1534582972527
36,851,55.7012374997139
37,994,56.4374232888222
38,1160,59.5366714596748
39,1359,61.5516589283943
40,1573,62.6060787439346
41,1819,65.2420354485512
42,2086,64.0501943826675
43,2377,63.7968701124191
44,2705,66.2550954222679
45,3083,68.0239696502686
46,3507,69.8373433947563
47,3957,70.3696983456612
48,4482,75.2167882919312
49,5042,72.7439625859261
50,5675,77.3674932122231
