size,time,eval
5,1,10.1561726927757
6,1,11.5755168199539
7,1,13.0983707904816
8,1,15.1311266422272
9,2,17.5966025590897
10,2,18.6693001389503
11,3,18.5004788041115
12,4,22.3998381495476
13,5,24.7257767319679
14,7,23.6042303442955
15,9,26.8175874352455
16,12,27.3293714523315
17,16,30.1955837607384
18,21,32.2050928473473
19,27,32.8250098824501
20,36,33.4307692050934
21,45,33.1203812360764
22,59,36.8015842437744
23,73,36.3524455428123
24,90,40.1800902485847
25,112,38.7436471581459
26,138,42.2376918196678
27,169,41.724371612072
28,206,44.4042540788651
29,250,46.4203192591667
30,303,48.1401745676994
31,359,46.9783247113228
32,430,50.279619038105
33,513,53.4068962931633
34,604,52.0231904983521
35,714,57.1189383864403
36,838,55.8211311101913
37,976,55.3808645009995
38,1133,56.7061717510223
39,1316,63.4056794047356
40,1528,62.7046859264374
41,1762,65.2673589587212
42,2017,63.4572392106056
43,2312,64.2269887328148
44,2647,68.4158046841621
45,3013,68.2874345183372
46,3431,70.2231008410454
47,3898,72.9686220884323
48,4411,75.477073431015
49,4995,74.2501510977745
50,5619,74.2349195480347
