size,time,eval
5,1,10.3549007177353
6,1,11.6927956938744
7,1,12.9758929014206
8,1,15.5402339100838
9,2,18.7293500304222
10,2,18.1321353912354
11,3,18.586697936058
12,4,23.6301150918007
13,6,21.0798078775406
14,7,25.1112335920334
15,10,27.9809536933899
16,13,27.1858444213867
17,17,27.632204413414
18,23,29.2883791923523
19,31,32.0052371621132
20,41,34.6891137957573
21,52,36.2478011846542
22,65,36.2306402921677
23,81,36.2950726747513
24,102,40.3387875556946
25,125,39.7243375182152
26,154,42.4782939553261
27,184,41.3755856156349
28,223,45.3802040219307
29,269,47.1050683259964
30,323,47.4835537672043
31,384,45.9321702122688
32,457,50.5582231283188
33,543,53.5850596427917
34,645,54.8114084601402
35,756,53.4519540071487
36,884,55.1138136982918
37,1030,56.8910427093506
38,1199,60.8886943459511
39,1382,58.4261783361435
40,1605,63.7329038977623
41,1855,64.3094637393951
42,2120,62.9027891159058
43,2421,64.3924550414085
44,2748,64.778439104557
45,3109,65.7482199072838
46,3519,67.4277264475822
47,3990,71.4600995779037
48,4511,73.4305707812309
49,5093,75.794777572155
50,5715,76.3635621666908
