size,nodeCount,time,eval
5,16,1,10.1287229061127
6,25,1,11.6022973656654
7,61,1,14.4838246107101
8,110,1,14.8919250369072
9,174,1,16.6266084909439
10,255,1,19.7185776233673
11,355,2,21.0026004910469
12,476,2,21.0110114216805
13,620,2,23.4479615092278
14,789,2,24.8843896985054
15,985,3,26.7672640681267
16,1210,3,26.5977682471275
17,1466,4,29.6988524794579
18,1755,5,31.4593290686607
19,2079,6,35.0923820734024
20,2440,7,33.0230724811554
21,2840,9,34.304184615612
22,3281,11,37.3376142978668
23,3765,12,36.6318237185478
24,1038,14,36.9847538471222
25,1614,17,39.7559850811958
26,2239,20,45.7925904393196
27,2915,24,43.4015697240829
28,3644,27,44.6326892971992
29,4428,31,47.0497574210167
30,5269,36,46.5834844112396
31,6169,42,51.3061593770981
32,7130,47,49.6431095600128
33,8154,56,55.3872720003128
34,2620,64,53.2947745919228
35,3776,72,55.4780772328377
36,5001,82,55.8349514603615
37,6297,91,59.226086139679
38,7666,103,59.9473407268524
39,9110,113,59.9300736188889
40,10631,129,62.7500224113464
41,4659,146,67.3067957758904
42,6340,161,64.706191599369
43,8104,178,66.5223694443703
44,9953,199,69.6523008942604
45,11889,222,71.0967226624489
46,13914,247,71.6959204673767
47,4146,273,74.550627887249
48,6355,293,72.9568214416504
49,8659,333,78.8874338269234
50,11060,356,73.4515338540077
5,9046,356,11.2988703846931
6,9071,356,14.5457934737206
7,9107,356,14.8075328469276
8,9156,356,15.23380869627
9,9220,356,18.1109030842781
10,9301,356,18.0472519397736
11,9401,356,20.0794242024422
12,9522,357,21.5612058639526
13,9666,357,22.3249460458755
14,9835,358,24.7148859500885
15,10031,358,24.2597286701202
16,10256,358,30.0676832795143
17,10512,359,27.7753503322601
18,10801,360,30.4685919284821
19,11125,360,33.3469929695129
20,11486,362,34.6327066421509
21,11886,363,34.5600973367691
22,12327,365,37.8519103527069
23,12811,366,37.2001306414604
24,13340,367,36.8956046104431
25,13916,370,41.2620168924332
26,14541,372,43.1496120095253
27,15217,376,44.5833542346954
28,15946,378,44.8910111784935
29,16730,382,47.3417747616768
30,17571,387,50.627525806427
31,10787,391,49.1883508563042
32,11748,397,49.6705256104469
33,12772,404,52.946072101593
34,13861,414,54.8785796761513
35,15017,421,53.7416095137596
36,16242,430,56.9698135852814
37,17538,439,58.7948716878891
38,18907,450,60.2312159538269
39,20351,460,63.77743268013
40,21872,473,63.1132127046585
41,13915,491,65.7776140570641
42,15596,502,61.8582721352577
43,17360,515,63.7632491588593
44,19209,535,65.9007432460785
45,21145,559,70.9414294958115
46,23170,582,69.8340109586716
47,25286,611,70.7893124222755
48,27495,637,72.6770719885826
49,18430,668,75.8876469731331
50,20831,699,77.2008880376816
