size,time,eval
5,1,10.6390873789787
6,1,12.5732966661453
7,1,14.8483810424805
8,1,15.1605058908463
9,2,17.4313716292381
10,2,19.2623437643051
11,3,21.0094645023346
12,4,20.7234717011452
13,5,22.9785211086273
14,7,23.667871773243
15,9,27.1963866353035
16,13,28.411602139473
17,17,27.9356428384781
18,23,31.5107772946358
19,30,33.940144598484
20,38,32.576473236084
21,49,32.9643537998199
22,62,36.3906456828117
23,79,37.0765594244003
24,99,39.3347316384315
25,124,41.4435943365097
26,154,42.9053605794907
27,190,43.8932259082794
28,232,45.7479889988899
29,281,44.8863223195076
30,340,47.0672490000725
31,410,50.4286532998085
32,492,47.596399128437
33,588,51.9412133693695
34,693,53.6280796527863
35,818,54.6378366351128
36,959,55.3761489391327
37,1124,62.434142768383
38,1296,55.1857674121857
39,1496,60.523683488369
40,1726,61.7092276215553
41,1990,64.1859215497971
42,2285,65.3870045542717
43,2622,65.6680607199669
44,2993,70.5528956651688
45,3409,70.1435768008232
46,3874,72.3254089355469
47,4381,71.6323087215424
48,4941,71.0347596406937
49,5565,73.3640365600586
50,6250,77.6957359313965
