size,time,eval
5,1,10.4308888316154
6,1,12.2828915119171
7,1,14.4368767142296
8,1,15.4706669449806
9,2,16.3553633093834
10,2,17.3700235486031
11,3,19.0810812115669
12,4,23.2692615389824
13,5,23.9239009618759
14,6,23.1851015090942
15,9,24.714381814003
16,12,26.1399491429329
17,17,28.2232386469841
18,22,31.6867807507515
19,28,29.8416353464127
20,38,33.5800034403801
21,49,34.4774390459061
22,62,34.1316501498222
23,78,38.5241229534149
24,97,39.5734760165215
25,121,39.6477159261703
26,149,42.0406161546707
27,181,43.1413331031799
28,221,45.6726217269897
29,266,44.168835580349
30,320,49.3032552599907
31,382,49.4417167305946
32,452,49.2312722802162
33,536,54.6224446892738
34,636,54.1457136869431
35,748,56.6349443793297
36,877,56.8068029880524
37,1027,57.8041002750397
38,1197,60.0058273673058
39,1388,60.4057065844536
40,1593,60.245756983757
41,1824,61.5307232141495
42,2099,64.2677917480469
43,2393,64.7834047675133
44,2736,67.2497467398643
45,3123,70.5169837474823
46,3552,70.2470388412476
47,4034,74.6137244701385
48,4534,73.1933707594872
49,5115,74.825633764267
50,5758,78.3879257440567
