size,time,eval
5,1,11.0364028215408
6,1,13.4168224930763
7,1,14.0935302376747
8,1,15.20118445158
9,2,17.210858464241
10,2,17.2591217756271
11,3,19.5129507184029
12,4,21.3094818592072
13,5,21.6646382212639
14,7,23.7858255505562
15,9,24.798956990242
16,12,24.0563505291939
17,16,30.2531399130821
18,22,27.9308303594589
19,28,30.8662877678871
20,36,33.7779718637466
21,47,35.0004551410675
22,60,37.5702133178711
23,76,38.3738881349564
24,96,38.4160588383675
25,120,41.6140596866608
26,148,40.9222009181976
27,181,44.669017791748
28,218,41.9129596352577
29,266,46.0791805386543
30,319,48.9025351405144
31,384,48.8671873211861
32,453,48.3503583073616
33,536,51.2995814085007
34,632,51.6053612828255
35,744,53.7733578085899
36,871,54.7736814022064
37,1018,55.51322889328
38,1182,57.7518847584724
39,1375,59.379631280899
40,1571,57.8182372450829
41,1815,62.9099252820015
42,2094,64.8112555146217
43,2402,64.9472070932388
44,2748,70.539843916893
45,3137,71.2336934804916
46,3551,68.2147163152695
47,4027,72.3905494213104
48,4567,75.1640854477882
49,5163,74.1929933428764
50,5770,73.0506470799446
