size,time,eval
5,1,10.8522133231163
6,1,12.5256089568138
7,1,13.7820961475372
8,2,16.5647517442703
9,2,15.8354665637016
10,2,18.2664613127708
11,3,19.1819172501564
12,4,23.0460010170937
13,6,22.4980666637421
14,7,23.7475746870041
15,9,24.1190850138664
16,12,26.5609562397003
17,16,28.3802530765533
18,21,29.160964012146
19,28,33.0446690917015
20,37,33.8406261205673
21,49,35.1006979346275
22,61,35.9270378351212
23,78,37.7205519080162
24,99,41.3773676753044
25,121,38.7932841181755
26,149,39.7775028347969
27,181,42.413540661335
28,218,43.1011806130409
29,263,45.1455972194672
30,318,47.5441832542419
31,377,46.4756531715393
32,450,49.5459498763084
33,536,50.7846845388412
34,635,55.3316240906715
35,748,55.7971667647362
36,878,58.0356147289276
37,1024,56.3449424505234
38,1192,58.5085756778717
39,1380,59.3199199438095
40,1596,63.6983435153961
41,1837,62.4469885826111
42,2103,64.3827868700027
43,2406,66.8499802947044
44,2729,63.5374792218208
45,3104,67.1310572624207
46,3529,70.2633336186409
47,3998,72.5433074831963
48,4503,71.1080302596092
49,5087,75.437683224678
50,5721,75.6852673888206
