size,time,eval
5,1,10.2041698098183
6,1,13.6897031068802
7,2,14.8559132218361
8,2,15.1302325129509
9,2,15.5654752850533
10,2,18.6001012325287
11,3,19.7996420860291
12,4,19.7021934986115
13,6,23.4166219234467
14,7,22.9619924426079
15,10,25.7383059263229
16,13,26.3700347542763
17,17,28.5830215811729
18,22,31.7205538153648
19,29,31.8465840220451
20,39,32.7773947715759
21,51,35.0405710339546
22,65,35.9465592503548
23,81,38.2264791727066
24,101,36.5114946365356
25,126,39.3525806665421
26,156,42.7914344668388
27,192,43.2597725987434
28,234,44.1817524433136
29,283,47.6527676582336
30,343,48.2480773329735
31,411,46.6849353313446
32,496,50.2281985878944
33,591,49.7366665005684
34,697,50.7772235870361
35,817,54.9853953719139
36,956,55.6055074930191
37,1122,60.8907257318497
38,1304,58.4422081112862
39,1509,59.3582097887993
40,1739,61.1804124712944
41,1997,62.5752508640289
42,2298,64.5236949324608
43,2631,67.3078253269196
44,3011,66.3204941749573
45,3425,70.9433446526527
46,3895,72.7737834453583
47,4412,71.9270829558372
48,4974,71.6449701786041
49,5617,75.8223903775215
50,6309,75.7741150856018
