size,time,eval
5,1,9.87685972452164
6,1,12.1638053655624
7,1,15.1874504089355
8,1,14.8060334324837
9,1,18.4171147346497
10,2,21.1813926100731
11,2,20.6220199465752
12,3,21.1176960468292
13,4,22.64947026968
14,5,23.4706928730011
15,6,26.4036398530006
16,8,25.9066077470779
17,10,27.4128710031509
18,14,30.7967499494553
19,19,32.6907832622528
20,25,35.9496633410454
21,32,34.1036933660507
22,40,36.8012400865555
23,50,36.244820356369
24,63,38.3070434331894
25,76,39.4848420619965
26,91,41.3981051445007
27,108,40.6869204640388
28,133,47.8657443523407
29,165,45.784487247467
30,200,46.7913842797279
31,238,48.6874976754189
32,280,49.4306191802025
33,319,47.8217975497246
34,386,54.533686876297
35,469,55.0585868358612
36,557,54.8509066104889
37,656,58.4881736636162
38,779,61.6991443037987
39,894,58.9988021850586
40,1025,59.3375726938248
41,1176,62.7929702401161
42,1350,63.1140021085739
43,1593,70.1870188117027
44,1811,70.4540431499481
45,2023,66.4522451162338
46,2307,71.075344979763
47,2555,70.3943277001381
48,2866,72.3001436591148
49,3206,75.1161267161369
50,3582,76.690448641777
