size,time,eval
5,1,10.3773145675659
6,1,11.1349626779556
7,1,14.3903542757034
8,1,16.8476405739784
9,2,18.6666460633278
10,2,17.7459232807159
11,3,17.6051738262177
12,4,22.4377862811089
13,5,21.9050343632698
14,6,24.6413168311119
15,8,26.76040995121
16,11,28.0620256066322
17,14,27.2429548501968
18,18,29.2051562666893
19,25,32.0558089613914
20,32,33.959945499897
21,43,38.0092526078224
22,53,34.8718546628952
23,66,36.5123417973518
24,87,39.5694969892502
25,106,42.6011031270027
26,130,42.5346448421478
27,153,44.0920859575272
28,184,43.8263844251633
29,215,45.1363394260406
30,255,46.9199855327606
31,301,47.9100298881531
32,359,52.3931676745415
33,429,53.4960581064224
34,510,54.7402055263519
35,600,54.139193713665
36,706,56.4867545962334
37,824,58.4000200033188
38,949,58.4016585946083
39,1101,60.152358353138
40,1257,62.8021348118782
41,1439,64.6075351834297
42,1646,65.923723757267
43,1853,65.9185024499893
44,2123,67.6204404830933
45,2466,71.1665511727333
46,2822,72.2438098192215
47,3206,72.7619389295578
48,3667,75.712947010994
49,4118,74.9869665503502
50,4635,75.2488067746162
