size,time,eval
5,1,10.8254289031029
6,1,11.6062235832214
7,1,13.8009904026985
8,2,15.6149618625641
9,2,17.3288295269012
10,2,19.4501351118088
11,3,20.6855272650719
12,4,21.1676602363586
13,5,20.9921692609787
14,7,23.8570868372917
15,9,23.3452264070511
16,12,25.7466979026794
17,17,29.492326259613
18,22,30.3227101564407
19,29,31.7639793157578
20,37,34.3914521336555
21,48,34.3602229952812
22,61,37.1283262372017
23,78,36.9043871760368
24,98,41.3551777601242
25,123,41.4322815537453
26,152,40.7251738905907
27,188,43.6331570744514
28,231,45.3356757164001
29,280,45.8990513086319
30,339,49.4094145894051
31,409,50.283252120018
32,491,51.0748108625412
33,585,52.2477725148201
34,691,56.0466159582138
35,811,52.3543112277985
36,950,58.6919144392014
37,1107,58.5802111029625
38,1284,59.1715605854988
39,1489,59.5061790943146
40,1725,62.9682765007019
41,1989,65.5714838504791
42,2282,64.5564622282982
43,2608,64.5060619711876
44,2977,70.0940718650818
45,3385,70.2217018604279
46,3846,69.42124158144
47,4350,71.860159099102
48,4911,76.5944493412971
49,5513,73.3929780125618
50,6207,77.7069635391235
