size,time,eval
5,2,11.4307064414024
6,2,12.4284294843674
7,2,14.4070736765862
8,2,14.7187118530273
9,2,18.2195911407471
10,3,18.6716375946999
11,3,20.7326756715775
12,4,21.2066320776939
13,6,22.2473027706146
14,7,24.1370887756348
15,10,25.6726088523865
16,13,27.326180934906
17,17,29.3218765258789
18,22,29.4142284393311
19,30,31.7301966547966
20,39,32.4302271604538
21,50,35.4022106528282
22,63,34.460389316082
23,79,37.6497328877449
24,99,39.8059695959091
25,122,43.2264095544815
26,148,40.6947625875473
27,182,45.3437167406082
28,221,46.2590594887733
29,266,45.904810667038
30,318,46.4498153924942
31,383,51.2204774022102
32,459,52.5924841761589
33,545,51.6228685975075
34,637,50.3099451065063
35,750,56.086262524128
36,878,55.2864141464233
37,1024,57.5202303528786
38,1193,60.0268686413765
39,1380,59.758801817894
40,1592,58.5666105151176
41,1820,63.1055852770805
42,2095,66.2635664343834
43,2400,64.4820580482483
44,2730,65.2269532680511
45,3113,68.4265186786652
46,3554,69.4850570559502
47,4025,72.4825968742371
48,4531,70.7863630056381
49,5104,72.0172225832939
50,5743,75.3614055514336
