size,time,eval
5,1,9.69505858421326
6,1,12.4303360581398
7,1,15.2015327215195
8,1,14.681832075119
9,1,17.4553455114365
10,2,18.2835066914558
11,2,21.4735184311867
12,3,20.6349030137062
13,4,22.2631872296333
14,5,26.4007353782654
15,7,23.857867538929
16,10,29.9503564238548
17,12,27.5214938521385
18,17,32.5225720405579
19,22,32.4381492137909
20,31,35.5401082634926
21,40,34.8698161244392
22,52,37.4115378260612
23,64,38.1573910713196
24,81,37.8046047687531
25,97,38.3050057291985
26,122,45.166227221489
27,150,44.3196625709534
28,182,45.1743218898773
29,217,43.7311934232712
30,258,46.4704179167747
31,309,49.2620221376419
32,364,53.3409233689308
33,434,55.0043323040009
34,499,54.4039531946182
35,576,54.673716545105
36,661,53.2866837382317
37,793,59.8402454853058
38,948,62.0667647719383
39,1129,64.2015829086304
40,1305,60.2203078269958
41,1492,64.6965080499649
42,1699,62.9234214425087
43,1993,66.7433747053146
44,2290,70.2602630257607
45,2621,70.0476275682449
46,2924,71.9865073561668
47,3322,74.4652283787727
48,3664,70.2324061393738
49,4117,75.0345386266708
50,4599,73.6013739109039
