size,time,eval
5,1,10.8689350485802
6,1,12.4260492920876
7,1,13.9319923520088
8,1,15.530022919178
9,2,19.4654434919357
10,2,19.1493616104126
11,3,20.4185786247253
12,4,22.9393240809441
13,5,21.7433605790138
14,6,26.0188742876053
15,9,25.4163227081299
16,11,27.0463252663612
17,15,27.8520123958588
18,20,31.3293976783752
19,26,31.6768774986267
20,32,31.7822070717812
21,42,34.4568952322006
22,53,35.2067009210587
23,66,38.2825163602829
24,83,38.4403595328331
25,103,42.2823752760887
26,128,38.577892780304
27,157,40.9387885928154
28,193,46.208379983902
29,235,48.7150723338127
30,284,47.8565635681152
31,343,48.3377302885056
32,411,52.8119902014732
33,490,52.3747586011887
34,580,52.3478255271912
35,687,54.9749024510384
36,809,54.9748767018318
37,948,58.1630889177322
38,1103,58.1305851340294
39,1282,60.1272785663605
40,1489,61.2239460349083
41,1724,64.2790298461914
42,1986,62.393401324749
43,2281,68.5752376317978
44,2615,69.7740654945374
45,2984,70.3153686523438
46,3393,68.3693979382515
47,3863,74.1823146343231
48,4374,76.2280492186546
49,4937,75.6995899677277
50,5556,75.3011392354965
